Month,Client_A_net,Client_B_net,Client_C_net,Client_D_net,total_net
Feb-26,2959.2,1824.3,0.0,0.0,4783.5
Mar-26,8529.2,3553.1,0.0,0.0,12082.3
Apr-26,12272.4,5641.9,9507.9,60.8,27483.0
May-26,17114.8,7623.3,24829.1,103.4,49670.6
Jun-26,17656.2,9648.8,36108.7,161.5,63575.2
Jul-26,18741.3,11520.7,42100.9,701.8,73064.7
Aug-26,18076.5,14137.3,37191.6,1011.0,70416.4
Sep-26,20282.3,14398.2,46868.8,1718.0,83267.3
Oct-26,21968.7,14499.2,43016.9,2453.1,81937.9
Nov-26,20432.0,16920.6,47014.3,3010.6,87377.5
Dec-26,22274.4,16434.3,48852.6,3881.6,91442.9
Jan-27,18418.0,18851.2,58785.1,7186.5,103240.8
Feb-27,23628.5,20017.1,52219.4,8616.0,104481.0
Mar-27,22221.5,23800.8,55066.3,12835.4,113924.0
Apr-27,24602.3,22943.8,60078.2,15582.7,123207.0
May-27,25422.1,22817.8,64316.3,17823.7,130379.9
Jun-27,26461.7,26915.9,60695.5,21234.2,135307.3
Jul-27,24738.6,28554.8,56751.7,24951.8,134996.9
Aug-27,27824.8,27422.9,67771.7,27173.8,150193.2
Sep-27,27603.1,25157.5,66291.2,28698.1,147749.9
Oct-27,27799.9,23411.8,66707.1,38583.5,156502.3
Nov-27,32656.4,29090.3,73500.1,39351.0,174597.8
Dec-27,27745.8,29742.2,62435.8,42499.8,162423.6
Jan-28,26556.0,33601.5,68524.5,40662.0,169344.0
Feb-28,28774.9,29147.5,74907.9,51217.1,184047.4
Mar-28,32707.1,28069.5,61910.8,56087.3,178774.7
Apr-28,27833.5,30170.0,64795.3,58965.6,181764.4
May-28,36017.8,29956.8,80573.2,54638.4,201186.2
Jun-28,33341.3,30218.0,66007.5,52519.9,182086.7
Jul-28,30622.1,28789.9,72269.3,63510.1,195191.4
Aug-28,33782.9,35228.5,76236.7,69944.6,215192.7
Sep-28,35762.2,33489.9,81965.8,73797.4,225015.3
Oct-28,31732.6,33458.3,81679.4,59798.7,206669.0
Nov-28,30876.2,28234.8,71448.2,91460.3,222019.5
Dec-28,32599.8,30254.8,83403.3,94588.0,240845.9
